participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.payoff_plus_participation_fee,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.participation_fee,session.config.real_world_currency_per_point,bms_experiment.1.player.id_in_group,bms_experiment.1.player.trans_cond,bms_experiment.1.player.age,bms_experiment.1.player.gender,bms_experiment.1.player.installed,bms_experiment.1.player.competence,bms_experiment.1.player.competence_neg,bms_experiment.1.player.benevolence,bms_experiment.1.player.benevolence_neg,bms_experiment.1.player.no_central_entity,bms_experiment.1.player.no_central_entity_neg,bms_experiment.1.player.anonymity,bms_experiment.1.player.anonymity_neg,bms_experiment.1.player.no_tracking,bms_experiment.1.player.no_tracking_neg,bms_experiment.1.player.unlinkabilty,bms_experiment.1.player.unlinkabilty_neg,bms_experiment.1.player.understanding,bms_experiment.1.player.q1_a1,bms_experiment.1.player.q1_a2,bms_experiment.1.player.q1_a3,bms_experiment.1.player.q1_a4,bms_experiment.1.player.q1_a5,bms_experiment.1.player.q2_a1,bms_experiment.1.player.q2_a2,bms_experiment.1.player.q2_a3,bms_experiment.1.player.q2_a4,bms_experiment.1.player.q2_a5,bms_experiment.1.player.q3_a1,bms_experiment.1.player.q3_a2,bms_experiment.1.player.q3_a3,bms_experiment.1.player.q3_a4,bms_experiment.1.player.q3_a5,bms_experiment.1.player.q4_a1,bms_experiment.1.player.q4_a2,bms_experiment.1.player.q4_a3,bms_experiment.1.player.q4_a4,bms_experiment.1.player.q4_a5,bms_experiment.1.player.attentive_1,bms_experiment.1.player.attentive_2,bms_experiment.1.player.finished,bms_experiment.1.player.payoff,bms_experiment.1.group.id_in_subsession,bms_experiment.1.subsession.round_number,bms_experiment.2.player.id_in_group,bms_experiment.2.player.trans_cond,bms_experiment.2.player.age,bms_experiment.2.player.gender,bms_experiment.2.player.installed,bms_experiment.2.player.competence,bms_experiment.2.player.competence_neg,bms_experiment.2.player.benevolence,bms_experiment.2.player.benevolence_neg,bms_experiment.2.player.no_central_entity,bms_experiment.2.player.no_central_entity_neg,bms_experiment.2.player.anonymity,bms_experiment.2.player.anonymity_neg,bms_experiment.2.player.no_tracking,bms_experiment.2.player.no_tracking_neg,bms_experiment.2.player.unlinkabilty,bms_experiment.2.player.unlinkabilty_neg,bms_experiment.2.player.understanding,bms_experiment.2.player.q1_a1,bms_experiment.2.player.q1_a2,bms_experiment.2.player.q1_a3,bms_experiment.2.player.q1_a4,bms_experiment.2.player.q1_a5,bms_experiment.2.player.q2_a1,bms_experiment.2.player.q2_a2,bms_experiment.2.player.q2_a3,bms_experiment.2.player.q2_a4,bms_experiment.2.player.q2_a5,bms_experiment.2.player.q3_a1,bms_experiment.2.player.q3_a2,bms_experiment.2.player.q3_a3,bms_experiment.2.player.q3_a4,bms_experiment.2.player.q3_a5,bms_experiment.2.player.q4_a1,bms_experiment.2.player.q4_a2,bms_experiment.2.player.q4_a3,bms_experiment.2.player.q4_a4,bms_experiment.2.player.q4_a5,bms_experiment.2.player.attentive_1,bms_experiment.2.player.attentive_2,bms_experiment.2.player.finished,bms_experiment.2.player.payoff,bms_experiment.2.group.id_in_subsession,bms_experiment.2.subsession.round_number
53,u42xxims,,0,15,22,bms_experiment,ActualUnderstandingSurvey,2020-08-22 09:36:29.304184+00:00,1,,,0,0.00,612nydpi,,,,,0,0.00,1.0,53,detailed,30,1,1,,,,,,,,,,,,,5,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,gray,yellow,,0,1,1,53,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,0,1,2
54,bwx2ccec,,0,1,22,bms_experiment,Introduction,2020-08-22 09:37:13.842514+00:00,1,,,0,0.00,612nydpi,,,,,0,0.00,1.0,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2
55,iabrq6a9,,0,5,22,bms_experiment,Information,2020-08-22 09:39:17.125938+00:00,1,,,0,0.00,612nydpi,,,,,0,0.00,1.0,55,brief,24,1,0,,,,,,,,,,,,,5,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,,,,0,1,1,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2
56,rwjamlh0,,0,4,22,bms_experiment,ActualUnderstandingSurvey,2020-08-22 09:42:08.666586+00:00,1,,,0,0.00,612nydpi,,,,,0,0.00,1.0,56,detailed,21,1,1,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2
57,xy0a9rpq,,0,22,22,bms_experiment,Ending,2020-08-22 09:54:00.284514+00:00,1,,,0,0.00,612nydpi,,,,,0,0.00,1.0,57,detailed,19,1,1,,,,,,,,,,,,,4,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,yellow,,,0,1,1,57,,,,,5,1,1,5,5,1,5,1,1,5,5,1,4,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,,,1,0,1,2
58,8xrvbtnx,,0,1,22,bms_experiment,Introduction,2020-08-22 10:01:19.661626+00:00,1,,,0,0.00,612nydpi,,,,,0,0.00,1.0,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2
59,amt619j7,,0,2,22,bms_experiment,GeneralInformationSurvey,2020-08-22 10:01:37.796272+00:00,1,,,0,0.00,612nydpi,,,,,0,0.00,1.0,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2
60,6bqss1q2,,0,4,22,bms_experiment,ActualUnderstandingSurvey,2020-08-22 10:05:07.704659+00:00,1,,,0,0.00,612nydpi,,,,,0,0.00,1.0,60,detailed,25,0,1,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2
61,lhoq7cbx,,0,22,22,bms_experiment,Ending,2020-08-22 10:28:54.772164+00:00,1,,,0,0.00,612nydpi,,,,,0,0.00,1.0,61,detailed,18,1,1,,,,,,,,,,,,,4,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,orange,black,,0,1,1,61,,,,,5,1,1,5,5,1,5,1,1,5,5,1,5,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,,,1,0,1,2
62,22dx83qh,,0,4,22,bms_experiment,ActualUnderstandingSurvey,2020-08-22 10:36:42.196084+00:00,1,,,0,0.00,612nydpi,,,,,0,0.00,1.0,62,detailed,34,1,1,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2
63,0oxorvvl,,0,22,22,bms_experiment,Ending,2020-08-22 10:40:15.386677+00:00,1,,,0,0.00,612nydpi,,,,,0,0.00,1.0,63,detailed,20,1,1,,,,,,,,,,,,,3,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,purple,yellow,,0,1,1,63,,,,,4,2,1,4,4,2,5,1,4,2,4,3,4,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,,,1,0,1,2
64,27cm3e7q,,0,1,22,bms_experiment,Introduction,2020-08-22 10:41:27.412356+00:00,1,,,0,0.00,612nydpi,,,,,0,0.00,1.0,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2
65,f34g6s9k,,0,2,22,bms_experiment,GeneralInformationSurvey,2020-08-22 10:46:15.128395+00:00,1,,,0,0.00,612nydpi,,,,,0,0.00,1.0,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2
66,d8n0myrs,,0,1,22,bms_experiment,Introduction,2020-08-22 10:48:55.111911+00:00,1,,,0,0.00,612nydpi,,,,,0,0.00,1.0,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2
67,k7uz0m1d,,0,1,22,bms_experiment,Introduction,2020-08-22 10:53:22.197900+00:00,1,,,0,0.00,612nydpi,,,,,0,0.00,1.0,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2
68,mct8avyl,,0,15,22,bms_experiment,ActualUnderstandingSurvey,2020-08-22 11:08:10.638325+00:00,1,,,0,0.00,612nydpi,,,,,0,0.00,1.0,68,brief,20,1,0,,,,,,,,,,,,,4,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,black,yellow,,0,1,1,68,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,0,1,2
69,uoa8svnz,,0,11,22,bms_experiment,Ending,2020-08-22 11:11:35.636745+00:00,1,,,0,0.00,612nydpi,,,,,0,0.00,1.0,69,no,23,1,1,4,3,2,3,3,3,5,1,2,3,4,2,4,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,,,1,0,1,1,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2
70,39nb3lka,,0,22,22,bms_experiment,Ending,2020-08-22 12:11:29.602942+00:00,1,,,0,0.00,612nydpi,,,,,0,0.00,1.0,70,brief,19,0,0,,,,,,,,,,,,,3,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,1,1,0,gray,black,,0,1,1,70,,,,,2,2,1,3,2,4,4,3,3,1,2,3,3,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,1,1,0,,,1,0,1,2
71,2ik4e0o8,,0,22,22,bms_experiment,Ending,2020-08-22 12:14:19.728217+00:00,1,,,0,0.00,612nydpi,,,,,0,0.00,1.0,71,brief,19,0,0,,,,,,,,,,,,,3,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,yellow,,,0,1,1,71,,,,,4,2,1,5,4,2,5,1,2,4,4,2,4,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,,,1,0,1,2
72,izyvywd6,,0,22,22,bms_experiment,Ending,2020-08-22 12:39:58.995584+00:00,1,,,0,0.00,612nydpi,,,,,0,0.00,1.0,72,brief,19,1,1,,,,,,,,,,,,,4,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,red,yellow,,0,1,1,72,,,,,4,2,1,4,5,1,5,1,1,5,5,1,3,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,,,1,0,1,2
73,qq1v36py,,0,22,22,bms_experiment,Ending,2020-08-22 13:24:41.854607+00:00,1,,,0,0.00,612nydpi,,,,,0,0.00,1.0,73,detailed,55,0,1,,,,,,,,,,,,,3,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,yellow,,,0,1,1,73,,,,,5,1,1,5,5,1,5,1,1,1,2,1,4,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,,,1,0,1,2
74,ddbkqjeb,,0,11,22,bms_experiment,Ending,2020-08-22 14:39:01.692038+00:00,1,,,0,0.00,612nydpi,,,,,0,0.00,1.0,74,no,20,1,1,4,2,2,4,4,2,4,2,2,2,3,3,3,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,,,1,0,1,1,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2
75,5dj0mjs8,,0,11,22,bms_experiment,Ending,2020-08-22 14:41:31.444365+00:00,1,,,0,0.00,612nydpi,,,,,0,0.00,1.0,75,no,21,0,1,4,2,2,1,3,3,5,1,1,3,3,4,4,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,,,1,0,1,1,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2
76,28z5ov2i,,0,22,22,bms_experiment,Ending,2020-08-22 14:54:34.729390+00:00,1,,,0,0.00,612nydpi,,,,,0,0.00,1.0,76,brief,19,1,1,,,,,,,,,,,,,2,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,yellow,,,0,1,1,76,,,,,4,2,2,5,5,1,5,1,2,3,4,1,2,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,,,1,0,1,2
77,flsgfund,,0,4,22,bms_experiment,ActualUnderstandingSurvey,2020-08-22 15:14:43.771404+00:00,1,,,0,0.00,612nydpi,,,,,0,0.00,1.0,77,detailed,21,1,0,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2
78,0qdly16d,,0,22,22,bms_experiment,Ending,2020-08-22 15:19:31.878382+00:00,1,,,0,0.00,612nydpi,,,,,0,0.00,1.0,78,detailed,20,0,1,,,,,,,,,,,,,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,black,black,,0,1,1,78,,,,,5,4,1,4,4,1,4,1,3,5,4,3,4,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,,,1,0,1,2
79,eskgu3to,,0,1,22,bms_experiment,Introduction,2020-08-22 15:40:31.150777+00:00,1,,,0,0.00,612nydpi,,,,,0,0.00,1.0,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2
80,g7lmcbjb,,0,1,22,bms_experiment,Introduction,2020-08-22 15:45:05.918656+00:00,1,,,0,0.00,612nydpi,,,,,0,0.00,1.0,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2
81,3q9yvok1,,0,1,22,bms_experiment,Introduction,2020-08-22 15:51:21.397183+00:00,1,,,0,0.00,612nydpi,,,,,0,0.00,1.0,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2
82,xj3uc4vs,,0,1,22,bms_experiment,Introduction,2020-08-22 18:33:49.631452+00:00,1,,,0,0.00,612nydpi,,,,,0,0.00,1.0,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2
83,ih53n2z3,,0,22,22,bms_experiment,Ending,2020-08-23 05:59:17.408129+00:00,1,,,0,0.00,612nydpi,,,,,0,0.00,1.0,83,brief,23,0,1,,,,,,,,,,,,,1,0,0,1,0,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,yellow,,,0,1,1,83,,,,,5,3,1,5,2,2,5,1,2,2,2,3,2,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,,,1,0,1,2
84,x2eb9s46,,0,2,22,bms_experiment,GeneralInformationSurvey,2020-08-23 07:03:35.790488+00:00,1,,,0,0.00,612nydpi,,,,,0,0.00,1.0,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2
85,9t85s31n,,0,22,22,bms_experiment,Ending,2020-08-23 12:41:49.078232+00:00,1,,,0,0.00,612nydpi,,,,,0,0.00,1.0,85,detailed,21,1,1,,,,,,,,,,,,,4,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,gray,black,,0,1,1,85,,,,,1,1,1,5,5,1,5,1,1,5,5,1,4,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,,,1,0,1,2
86,gzs7amyl,,0,1,22,bms_experiment,Introduction,2020-08-23 13:09:27.557439+00:00,1,,,0,0.00,612nydpi,,,,,0,0.00,1.0,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2
87,tul8fz6q,,0,2,22,bms_experiment,GeneralInformationSurvey,2020-08-23 13:10:16.255150+00:00,1,,,0,0.00,612nydpi,,,,,0,0.00,1.0,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2
88,lcp2hs0n,,0,1,22,bms_experiment,Introduction,2020-08-23 13:10:27.020863+00:00,1,,,0,0.00,612nydpi,,,,,0,0.00,1.0,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2
89,6l0r61h0,,0,2,22,bms_experiment,GeneralInformationSurvey,2020-08-23 13:10:27.375386+00:00,1,,,0,0.00,612nydpi,,,,,0,0.00,1.0,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2
90,jt02hngh,,0,1,22,bms_experiment,Introduction,2020-08-23 13:13:00.434506+00:00,1,,,0,0.00,612nydpi,,,,,0,0.00,1.0,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2
91,dti85jkb,,0,1,22,bms_experiment,Introduction,2020-08-23 13:13:02.436919+00:00,1,,,0,0.00,612nydpi,,,,,0,0.00,1.0,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2
92,paxtwlvk,,0,1,22,bms_experiment,Introduction,2020-08-23 13:20:57.694420+00:00,1,,,0,0.00,612nydpi,,,,,0,0.00,1.0,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2
93,zdft27gf,,0,11,22,bms_experiment,Ending,2020-08-23 13:51:29.781081+00:00,1,,,0,0.00,612nydpi,,,,,0,0.00,1.0,93,no,54,1,1,4,2,1,4,5,1,4,1,1,4,4,1,4,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,,,1,0,1,1,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2
94,kvoah14c,,0,1,22,bms_experiment,Introduction,2020-08-23 14:12:24.976299+00:00,1,,,0,0.00,612nydpi,,,,,0,0.00,1.0,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2
95,uav5r2wz,,0,1,22,bms_experiment,Introduction,2020-08-23 16:35:24.505315+00:00,1,,,0,0.00,612nydpi,,,,,0,0.00,1.0,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2
96,cciak80h,,0,2,22,bms_experiment,GeneralInformationSurvey,2020-08-23 16:35:34.068393+00:00,1,,,0,0.00,612nydpi,,,,,0,0.00,1.0,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2
97,rfzqm66i,,0,2,22,bms_experiment,GeneralInformationSurvey,2020-08-23 16:38:39.939378+00:00,1,,,0,0.00,612nydpi,,,,,0,0.00,1.0,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2
98,ee2302g7,,0,2,22,bms_experiment,GeneralInformationSurvey,2020-08-23 16:49:24.556111+00:00,1,,,0,0.00,612nydpi,,,,,0,0.00,1.0,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2
99,13qikkfe,,0,22,22,bms_experiment,Ending,2020-08-23 16:54:30.085636+00:00,1,,,0,0.00,612nydpi,,,,,0,0.00,1.0,99,brief,24,1,1,,,,,,,,,,,,,5,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,red,yellow,,0,1,1,99,,,,,3,3,2,4,3,1,4,1,2,5,5,2,4,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,,,1,0,1,2
100,4m1k4wqg,,0,22,22,bms_experiment,Ending,2020-08-23 16:59:00.786455+00:00,1,,,0,0.00,612nydpi,,,,,0,0.00,1.0,100,brief,25,1,1,,,,,,,,,,,,,5,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,white,yellow,,0,1,1,100,,,,,4,2,1,5,5,1,5,1,1,5,1,1,3,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,,,1,0,1,2
101,l31osgmv,,0,1,22,bms_experiment,Introduction,2020-08-23 17:13:59.602221+00:00,1,,,0,0.00,612nydpi,,,,,0,0.00,1.0,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2
102,8xjxsq6x,,0,22,22,bms_experiment,Ending,2020-08-23 17:16:22.918596+00:00,1,,,0,0.00,612nydpi,,,,,0,0.00,1.0,102,detailed,28,1,1,,,,,,,,,,,,,5,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,blue,yellow,,0,1,1,102,,,,,5,1,1,4,5,1,5,1,1,5,4,2,5,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,,,1,0,1,2
103,n0ncwoib,,0,22,22,bms_experiment,Ending,2020-08-23 17:40:25.302191+00:00,1,,,0,0.00,612nydpi,,,,,0,0.00,1.0,103,detailed,27,0,1,,,,,,,,,,,,,3,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,red,yellow,,0,1,1,103,,,,,4,2,1,5,5,1,5,1,2,2,4,1,3,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,,,1,0,1,2
104,2ixn1vh6,,0,9,22,bms_experiment,TrustSurvey,2020-08-23 17:45:35.937998+00:00,1,,,0,0.00,612nydpi,,,,,0,0.00,1.0,104,no,12,2,1,,,,,,,,,,,,,1,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,,,,0,1,1,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2
105,ix8d8j8c,,0,11,22,bms_experiment,Ending,2020-08-23 18:02:25.076083+00:00,1,,,0,0.00,612nydpi,,,,,0,0.00,1.0,105,no,29,1,1,4,1,1,5,5,1,4,1,2,5,1,1,4,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,,,1,0,1,1,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2
106,nl5awqwp,,0,11,22,bms_experiment,Ending,2020-08-23 18:49:48.194344+00:00,1,,,0,0.00,612nydpi,,,,,0,0.00,1.0,106,no,55,1,1,5,2,1,5,4,1,5,1,1,2,4,3,3,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,,,1,0,1,1,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2
107,mga9zhlt,,0,11,22,bms_experiment,Ending,2020-08-23 18:54:46.198030+00:00,1,,,0,0.00,612nydpi,,,,,0,0.00,1.0,107,no,52,0,1,4,2,1,5,4,2,4,1,1,2,4,2,3,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,,,1,0,1,1,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2
108,70d9uiqb,,0,2,22,bms_experiment,GeneralInformationSurvey,2020-08-23 19:01:30.084431+00:00,1,,,0,0.00,612nydpi,,,,,0,0.00,1.0,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2
109,b5wglmxv,,0,15,22,bms_experiment,ActualUnderstandingSurvey,2020-08-23 20:51:43.494729+00:00,1,,,0,0.00,612nydpi,,,,,0,0.00,1.0,109,brief,25,0,1,,,,,,,,,,,,,4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,blue,yellow,,0,1,1,109,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,0,1,2
110,5bthy3b1,,0,22,22,bms_experiment,Ending,2020-08-24 05:25:20.497600+00:00,1,,,0,0.00,612nydpi,,,,,0,0.00,1.0,110,brief,54,1,1,,,,,,,,,,,,,4,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,yellow,,,0,1,1,110,,,,,4,1,1,5,5,1,5,1,1,5,5,1,3,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,,,1,0,1,2
111,hihnbesb,,0,11,22,bms_experiment,Ending,2020-08-24 06:37:59.604685+00:00,1,,,0,0.00,612nydpi,,,,,0,0.00,1.0,111,no,27,0,0,3,3,1,4,5,1,4,2,2,3,3,3,4,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,,,1,0,1,1,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2
112,wit9pzdv,,0,22,22,bms_experiment,Ending,2020-08-24 07:20:45.410200+00:00,1,,,0,0.00,612nydpi,,,,,0,0.00,1.0,112,detailed,44,1,1,,,,,,,,,,,,,3,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,red,white,,0,1,1,112,,,,,4,2,1,4,1,1,4,1,2,5,4,2,3,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,,,1,0,1,2
